Ref,Val,Package,PosX,PosY,Rot,Side
SW65,CPG151101S11,MX225H,-11.90675,-80.9625,0,top
SW66,CPG151101S11,MX100H,-42.863,-80.9625,0,top
SW67,CPG151101S11,MX100H,-61.913,-80.9625,0,top
SW68,CPG151101S11,MX100H,-80.963,-80.9625,0,top
SW69,CPG151101S11,MX100H,-100.013,-80.9625,0,top
SW70,CPG151101S11,MX100H,-119.063,-80.9625,0,top
SW71,CPG151101S11,MX100H,-138.113,-80.9625,0,top
SW72,CPG151101S11,MX100H,-157.163,-80.9625,0,top
SW73,CPG151101S11,MX100H,-176.213,-80.9625,0,top
SW74,CPG151101S11,MX100H,-195.263,-80.9625,0,top
SW75,CPG151101S11,MX100H,-214.313,-80.9625,0,top
SW76,CPG151101S11,MX275H,-250.03175,-80.9625,0,top
SW77,CPG151101S11,MX100H,-309.563,-80.9625,0,top
SW78,CPG151101S11,MX100H,-328.613,-42.8625,0,top
SW79,CPG151101S11,MX100H,-328.613,-23.8125,0,top
SW80,CPG151101S11,MX125H,-2.38175,-100.0125,0,top
SW81,CPG151101S11,MX125H,-26.19425,-100.0125,0,top
SW82,CPG151101S11,MX125H,-50.00675,-100.0125,0,top
SW83,CPG151101S11,MX625HR,-121.44425,-100.0125,0,top
SW84,CPG151101S11,MX125H,-192.88175,-100.0125,0,top
SW85,CPG151101S11,MX125H,-216.69425,-100.0125,0,top
SW86,CPG151101S11,MX125H,-240.50675,-100.0125,0,top
SW87,CPG151101S11,MX125H,-264.31925,-100.0125,0,top
SW88,CPG151101S11,MX100H,-290.513,-100.0125,0,top
SW89,CPG151101S11,MX100H,-309.563,-100.0125,0,top
SW90,CPG151101S11,MX100H,-328.613,-100.0125,0,top
U1,TXS0101DBVR,SOT-23-6,-268.950378,-80.09999,-90,top
U3,STM32F411CEU6,STM_UFQFPN-48_LQFP-48-1EP_7x7mm_P0.5mm_HandSoldering_ThermalReliefs,-282,-65.6,90,top
U4,MCP1700T-3302E/TT,SOT-23,-300.4,-10.8,-90,top
U5,BL24C256A-SFRC,TSSOP-8_4.4x3mm_P0.65mm,-297.8,-65,0,top
U6,IS31FL3741A,QFN-60-1EP_7x7mm_P0.4mm_EP5.4x5.4mm_ThermalReliefs,-310.388,-61.849,180,top
Y1,7325-0800A2010-00,Crystal_SMD_3225-4Pin_3.2x2.5mm,-280.8,-77,180,top
